rank,song_title,artist,year
1,I Gotta Feeling,Black Eyed Peas,2009
2,Sexy Bitch,David Guetta feat. Akon,2009
3,Love Story {Re-Entry},Taylor Swift,2009
4,Boom Boom Pow,Black Eyed Peas,2009
5,Right Round,Flo Rida feat. Kesha,2009
6,Like it Like That,Guy Sebastian,2009
7,Halo,Beyonce,2009
8,Meet Me Halfway,Black Eyed Peas,2009
9,Tik Tok,Kesha,2009
10,The Last Day on Earth,Kate Miller-Heidke,2009
11,Poker Face,Lady Gaga,2009
12,Paparazzi,Lady Gaga,2009
13,You Found Me,The Fray,2009
14,Single Ladies (Put a Ring on It),Beyonce,2009
15,Jai Ho! (You Are My Destiny),A. R. Rahman \& The Pussycat Dolls,2009
16,The Climb,Miley Cyrus,2009
17,You Belong With Me,Taylor Swift,2009
18,Evacuate the Dancefloor,Cascada,2009
19,Gives You Hell,The All-American Rejects,2009
20,Not Fair,Lily Allen,2009
21,I Know You Want Me (Calle Ocho),Pitbull,2009
22,The Fear,Lily Allen,2009
23,Sweet Dreams,Beyonce,2009
24,Breakeven,The Script,2009
25,Good Girls Go Bad,Cobra Starship,2009
26,We Made You,Eminem,2009
27,Get Shaky,The Ian Carey Project,2009
28,When Love Takes Over,David Guetta feat. Kelly Rowland,2009
29,New Divide,Linkin Park,2009
30,This is Who I Am,Vanessa Amorosi,2009
31,Bad Romance,Lady Gaga,2009
32,Starstrukk,3OH!3 feat. Katy Perry,2009
33,Don't Trust Me,3OH!3,2009
34,Down,Jay Sean feat. Lil Wayne,2009
35,Hey Boys and Girls (Truth of the World Pt.2),Evermore,2009
36,Dead and Gone,T.I. feat. Justin Timberlake,2009
37,Party in the U.S.A.,Miley Cyrus,2009
38,Use Somebody,Kings of Leon,2009
39,LoveGame,Lady Gaga,2009
40,My Life Would Suck Without You,Kelly Clarkson,2009
41,My Delirium,Ladyhawke,2009
42,Chase That Feeling,Hilltop Hoods,2009
43,Burn,Jessica Mauboy,2009
44,Let it Rock,Kevin Rudolf feat. Lil Wayne,2009
45,Battlefield,Jordin Sparks,2009
46,Love Sex Magic,Ciara feat. Justin Timberlake,2009
47,Bulletproof,La Roux,2009
48,Heavy Cross,Gossip,2009
49,Her Diamonds,Rob Thomas,2009
50,Black Box,Stan Walker,2009
51,Riverside,Sidney Samson,2009
52,Funhouse,Pink,2009
53,Sex on Fire,Kings of Leon,2009
54,Rock \& Roll,Eric Hutchinson,2009
55,Someday Soon,Natalie Bassingthwaighte,2009
56,Bad Influence,Pink,2009
57,So What,Pink,2009
58,Hot N Cold,Katy Perry,2009
59,3,Britney Spears,2009
60,Run This Town,Jay-Z feat. Rihanna \& Kanye West,2009
61,Walking on a Dream,Empire of the Sun,2009
62,Circus,Britney Spears,2009
63,Please Don't Leave Me,Pink,2009
64,Empire State of Mind,Jay-Z \& Alicia Keys,2009
65,Beautiful {Re-Entry},Akon feat. Kardinal Offishall \& Colby O'Donis,2009
66,Bonkers,Dizzee Rascal \& Armand Van Helden,2009
67,Waking Up in Vegas,Katy Perry,2009
68,The Boy Does Nothing,Alesha Dixon,2009
69,Don't Stop Believin',Glee Cast,2009
70,Just Dance,Lady Gaga feat. Colby O'Donis,2009
71,I'm Yours,Jason Mraz,2009
72,21 Guns,Green Day,2009
73,Up/Down,Jessica Mauboy,2009
74,Hush Hush; Hush Hush,The Pussycat Dolls,2009
75,Live Your Life,T.I. feat. Rihanna,2009
76,Decode,Paramore,2009
77,Been Waiting,Jessica Mauboy,2009
78,Whatcha Say,Jason Derulo,2009
79,Fireflies,Owl City,2009
80,If Today Was Your Last Day,Nickelback,2009
81,"Eh, Eh (Nothing Else I Can Say)",Lady Gaga,2009
82,Right Now (Na Na Na),Akon,2009
83,Art of Love,Guy Sebastian feat. Jordin Sparks,2009
84,Day 'n' Nite,Kid Cudi vs. Crookers,2009
85,She's a Genius,Jet,2009
86,Already Gone,Kelly Clarkson,2009
87,Little Lion Man,Mumford \& Sons,2009
88,I Wanna,The All-American Rejects,2009
89,Before the Worst,The Script,2009
90,Kiss Me Thru the Phone,Soulja Boy Tell 'Em feat. Sammie,2009
91,Sober,Pink,2009
92,Viva La Vida,Coldplay,2009
93,Hotel Room Service,Pitbull,2009
94,Feels Like Woah,Wes Carr,2009
95,According to You,Orianthi,2009
96,Russian Roulette,Rihanna,2009
97,If U Seek Amy,Britney Spears,2009
98,We Are the People,Empire of the Sun,2009
99,Like it Loud,Cassie Davis,2009
100,Jizz in My Pants,The Lonely Island,2009
