rank,song_title,artist,year
1,Irreplaceable,Beyoncé,2007
2,Umbrella,"Rihanna, Jay-Z",2007
3,The Sweet Escape,"Gwen Stefani, Akon",2007
4,Big Girls Don't Cry,Fergie,2007
5,Buy U a Drank (Shawty Snappin'),"T-Pain, Yung Joc",2007
6,Before He Cheats,Carrie Underwood,2007
7,Hey There Delilah,Plain White T's,2007
8,I Wanna Love You,"Akon, Snoop Dogg",2007
9,Say It Right,Nelly Furtado,2007
10,Glamorous,"Fergie, Ludacris",2007
11,Don't Matter,Akon,2007
12,Girlfriend,Avril Lavigne,2007
13,Makes Me Wonder,Maroon 5,2007
14,Party Like a Rockstar,Shop Boyz,2007
15,Smack That,"Akon, Eminem",2007
16,This Is Why I'm Hot,Mims,2007
17,It's Not Over,Daughtry,2007
18,The Way I Are,"Timbaland, Keri Hilson",2007
19,Fergalicious,"Fergie, will.i.am",2007
20,Crank That (Soulja Boy),Soulja Boy Tell 'Em,2007
21,Give It to Me,"Timbaland, Nelly Furtado, Justin Timberlake",2007
22,What Goes Around... Comes Around,Justin Timberlake,2007
23,Cupid's Chokehold,"Gym Class Heroes, Patrick Stump",2007
24,How to Save a Life,The Fray,2007
25,Home,Daughtry,2007
26,My Love,"Justin Timberlake, T.I.",2007
27,Stronger,Kanye West,2007
28,We Fly High,Jim Jones,2007
29,U + Ur Hand,Pink,2007
30,Walk It Out,Unk,2007
31,Beautiful Girls,Sean Kingston,2007
32,"This Ain't a Scene, It's an Arms Race",Fall Out Boy,2007
33,Bartender,"T-Pain, Akon",2007
34,"Pop, Lock & Drop It",Huey,2007
35,Runaway Love,"Ludacris, Mary J. Blige",2007
36,Rockstar,Nickelback,2007
37,Thnks fr th Mmrs,Fall Out Boy,2007
38,What I've Done,Linkin Park,2007
39,Summer Love,Justin Timberlake,2007
40,You,"Lloyd, Lil Wayne",2007
41,Wait for You,Elliott Yamin,2007
42,Last Night,"Diddy, Keyshia Cole",2007
43,Make It Rain,"Fat Joe, Lil Wayne",2007
44,Make Me Better,"Fabolous, Ne-Yo",2007
45,Ice Box,Omarion,2007
46,Lips of an Angel,Hinder,2007
47,Waiting on the World to Change,John Mayer,2007
48,Lost Without U,Robin Thicke,2007
49,I'm a Flirt,"R. Kelly, T.I., T-Pain",2007
50,If Everyone Cared,Nickelback,2007
51,Get It Shawty,Lloyd,2007
52,Face Down,The Red Jumpsuit Apparatus,2007
53,The Way I Live,Baby Boy da Prince,2007
54,Shortie Like Mine,"Bow Wow, Chris Brown, Johntá Austin",2007
55,It Ends Tonight,The All-American Rejects,2007
56,A Bay Bay,Hurricane Chris,2007
57,Because of You,Ne-Yo,2007
58,I Tried,"Bone Thugs-n-Harmony, Akon",2007
59,Welcome To The Black Parade,My Chemical Romance,2007
60,Shawty,"Plies, T-Pain",2007
61,Chasing Cars,Snow Patrol,2007
62,Beautiful Liar,"Beyoncé, Shakira",2007
63,SexyBack,"Justin Timberlake, Timbaland",2007
64,Keep Holding On,Avril Lavigne,2007
65,Let It Go,"Keyshia Cole, Missy Elliott, Lil' Kim",2007
66,Apologize,OneRepublic,2007
67,Bubbly,Colbie Caillat,2007
68,Like a Boy,Ciara,2007
69,Who Knew,Pink,2007
70,Never Again,Kelly Clarkson,2007
71,Promise,Ciara,2007
72,Bed,J. Holiday,2007
73,Throw Some D's,"Rich Boy, Polow da Don",2007
74,Rehab,Amy Winehouse,2007
75,Big Shit Poppin' (Do It),T.I.,2007
76,No One,Alicia Keys,2007
77,The Great Escape,Boys Like Girls,2007
78,2 Step,Unk,2007
79,Walk Away (Remember Me),"Paula DeAnda, The D.E.Y.",2007
80,Go Getta,"Young Jeezy, R. Kelly",2007
81,Here (In Your Arms),Hellogoodbye,2007
82,On the Hotline,Pretty Ricky,2007
83,Wind It Up,Gwen Stefani,2007
84,Cyclone,"Baby Bash, T-Pain",2007
85,Break It Off,"Rihanna, Sean Paul",2007
86,First Time,Lifehouse,2007
87,Ayo Technology,"50 Cent, Justin Timberlake, Timbaland",2007
88,Outta My System,"Bow Wow, T-Pain, Johntá Austin",2007
89,Teardrops on My Guitar,Taylor Swift,2007
90,Shut Up and Drive,Rihanna,2007
91,Snow (Hey Oh),Red Hot Chili Peppers,2007
92,Money Maker,"Ludacris, Pharrell",2007
93,Kiss Kiss,"Chris Brown, T-Pain",2007
94,Far Away,Nickelback,2007
95,Rock Yo Hips,"Crime Mob, Lil' Scrappy",2007
96,LoveStoned,Justin Timberlake,2007
97,Better than Me,Hinder,2007
98,Paralyzer,Finger Eleven,2007
99,That's That,"Snoop Dogg, R. Kelly",2007
100,Same Girl,"R. Kelly, Usher",2007
