rank,title,artist,year
1,Uptown Funk,Mark Ronson feat. Bruno Mars,2015
2,Cheerleader (Felix Jaehn Remix),Omi,2015
3,See You Again,Wiz Khalifa feat. Charlie Puth,2015
4,Take Me to Church,Hozier,2015
5,Hello,Adele,2015
6,Lean On,Major Lazer \& DJ Snake feat. Mo,2015
7,Love Me Like You Do,Ellie Goulding,2015
8,Shut Up and Dance,Walk the Moon,2015
9,What Do You Mean?,Justin Bieber,2015
10,FourFiveSeconds,"Rihanna, Kanye West \& Paul McCartney",2015
11,Downtown,"Macklemore \& Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee \& Grandmaster Caz",2015
12,Can't Feel My Face,The Weeknd,2015
13,Sugar,Maroon 5,2015
14,Elastic Heart {Re-Recorded},{{Sia}},2015
15,Thinking Out Loud,Ed Sheeran,2015
16,Sorry,Justin Bieber,2015
17,Where Are U Now,Jack U {Skrillex \& Diplo} feat. Justin Bieber,2015
18,Bad Blood,Taylor Swift feat. Kendrick Lamar,2015
19,Hold Back the River,James Bay,2015
20,The Hills,The Weeknd,2015
21,Fight Song,Rachel Platten,2015
22,Do You Remember,{{Jarryd James}},2015
23,Like I'm Gonna Lose You,Meghan Trainor feat. John Legend,2015
24,Want to Want Me,Jason Derulo,2015
25,Love Yourself,Justin Bieber,2015
26,You Don't Own Me,{{Grace}} feat. G-Eazy,2015
27,Bills,LunchMoney Lewis,2015
28,Are You With Me,Lost Frequencies,2015
29,How Deep is Your Love,Calvin Harris \& Disciples,2015
30,Peanut Butter Jelly,Galantis,2015
31,Style,Taylor Swift,2015
32,Ghost Town,Adam Lambert,2015
33,Photograph,Ed Sheeran,2015
34,Lay Me Down,Sam Smith,2015
35,Let it Go,James Bay,2015
36,Wasn't Expecting That,Jamie Lawson,2015
37,Firestone,Kygo feat. {{Conrad Sewell}},2015
38,Marvin Gaye,Charlie Puth feat. Meghan Trainor,2015
39,Dear Future Husband,Meghan Trainor,2015
40,Flashlight,Jessie J,2015
41,Wildest Dreams {Re-Entry},Taylor Swift,2015
42,Locked Away,R. City feat. Adam Levine,2015
43,Hotline Bling,Drake,2015
44,Runaway (U \& I),Galantis,2015
45,The Nights,Avicii,2015
46,Fire and the Flood,{{Vance Joy}},2015
47,Hey Mama,David Guetta feat. Nicki Minaj \& Afrojack,2015
48,Sugar,Robin Schulz feat. Francesco Yates,2015
49,Shake it Off,Taylor Swift,2015
50,Drag Me Down,One Direction,2015
51,Good for You,Selena Gomez feat. ASAP Rocky,2015
52,Watch Me (Whip/Nae Nae),Silento,2015
53,Do it Again,Pia Mia feat. Chris Brown \& Tyga,2015
54,Start Again,{{Conrad Sewell}},2015
55,Blank Space,Taylor Swift,2015
56,Stitches,Shawn Mendes,2015
57,Five More Hours,Deorro \& Chris Brown,2015
58,Dessert,Dawin,2015
59,Ocean Drive,Duke Dumont,2015
60,Black Magic,Little Mix,2015
61,The Fix,Nelly feat. Jeremih,2015
62,Worth It,Fifth Harmony feat. Kid Ink,2015
63,Headlights,Robin Schulz feat. Ilsey,2015
64,Whip It!,LunchMoney Lewis feat. Chloe Angelides,2015
65,Never Forget You,Zara Larsson \& MNEK,2015
66,Cosby Sweater,{{Hilltop Hoods}},2015
67,That's How You Know,Nico \& Vinz feat. Kid Ink \& Bebe Rexha,2015
68,Powerful,Major Lazer feat. Ellie Goulding \& Tarrus Riley,2015
69,Up,Olly Murs feat. Demi Lovato,2015
70,Sun Goes Down,Robin Schulz feat. Jasmine Thompson,2015
71,King,Years \& Years,2015
72,Georgia,{{Vance Joy}},2015
73,You Know You Like It,DJ Snake \& AlunaGeorge,2015
74,On My Mind,Ellie Goulding,2015
75,Waiting for Love,Avicii,2015
76,Talk is Cheap,{{Chet Faker}},2015
77,Lay it All on Me,Rudimental feat. Ed Sheeran,2015
78,Bloodstream,Ed Sheeran \& Rudimental,2015
79,Time of Our Lives,Pitbull \& Ne-Yo,2015
80,Earned It,The Weeknd,2015
81,"I Don't Like It, I Love It",Flo Rida feat. Robin Thicke \& Verdine White,2015
82,Lips Are Movin,Meghan Trainor,2015
83,Pray to God,Calvin Harris feat. Haim,2015
84,Trouble,{{Iggy Azalea}} feat. Jennifer Hudson,2015
85,Somebody,Natalie La Rose feat. Jeremih,2015
86,Ain't Nobody (Loves Me Better),Felix Jaehn feat. Jasmine Thompson,2015
87,Stay With Me,Sam Smith,2015
88,Wings,{{Delta Goodrem}},2015
89,One Last Time,Ariana Grande,2015
90,Take Me Over,{{Peking Duk}} feat. {{Safia}},2015
91,Perfect,One Direction,2015
92,Jealous,Nick Jonas,2015
93,I'm an Albatraoz,AronChupa,2015
94,Chandelier,{{Sia}},2015
95,Get Stupid,Aston Merrygold,2015
96,Trap Queen,Fetty Wap,2015
97,Masterpiece,Jessie J,2015
98,Hula Hoop,Omi,2015
99,The Trouble With Us,Marcus Marr \& {{Chet Faker}},2015
100,The Buzz,{{Hermitude}} feat. {{Mataya}} \& Young Tapz,2015
