rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,Big Girls Don't Cry,Fergie,[],2007,4ed1adbb-ea50-45f1-9e7e-238d339e1fcf,4f9675d2-f6d5-486c-9b26-33dcca998500,267000.0,[],"['pop music', 'soft rock']"
2,Girlfriend,Avril Lavigne,[],2007,402627ea-4960-43da-904b-addbdae7ff4c,0103c1cc-4a09-4a5d-a344-56ad99a77193,217000.0,"['pop', 'rock']","['bubblegum music', 'pop-punk', 'power pop']"
3,Umbrella,Rihanna,['Jay-Z'],2007,,73e5e69d-3554-40d8-8516-00cb38737a1c,249000.0,"['pop', 'rnb', 'dance']","['hip-hop', 'contemporary R&B', 'pop music']"
4,Straight Lines,Silverchair,[],2007,c694f166-5a5e-4544-9e54-47c64f770035,b0799818-22cb-4564-8e68-3c410d0722ee,257000.0,[],['alternative rock']
5,Lips of an Angel,Hinder,[],2007,6f677702-81e5-472e-b9d7-784a78bd57cb,39b22a9e-59dd-412b-ac3c-0725c807c72b,261000.0,"['rock', 'alternative']",['post-grunge']
6,Apologize,Timbaland pres. OneRepublic,[],2007,,,184000.0,[],[]
7,Grace Kelly,Mika,[],2007,,e4914285-d20d-4fc2-ae32-42cba8aeeed0,187000.0,['pop'],['glam rock']
8,Candyman,Christina Aguilera,[],2007,,b202beb7-99bd-47e7-8b72-195c8d72ebdd,193000.0,[],['pop music']
9,The Sweet Escape,Gwen Stefani,['Akon'],2007,,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,246000.0,"['pop', 'dance', 'rnb']","['doo-wop', 'hip-hop', 'pop music']"
10,Beautiful Girls,Sean Kingston,[],2007,,f7eb3be3-1065-4a53-94d4-e2d0c15c0b33,227000.0,"['rnb', 'reggae', 'pop']",['contemporary R&B']
11,The Way I Are,Timbaland,['Keri Hilson and D.O.E.'],2007,014cf1c4-0e5a-3ecc-9b8e-bfd25944a07a,daa09819-5da5-4c7a-8bef-eb372bb27ff1,181000.0,"['dance', 'rnb', 'pop']","['pop music', 'electropop']"
12,Dance Floor Anthem (I Don't Want to Be in Love),Good Charlotte,[],2007,1a85f7fe-c485-49aa-a2d6-e7295cb4abe2,b267ca80-034e-4dc1-9ed4-ec45f1fed41d,247000.0,[],['dance-rock']
13,Glamorous,Fergie,['Ludacris'],2007,,4f9675d2-f6d5-486c-9b26-33dcca998500,174000.0,"['pop', 'dance', 'rnb']",['contemporary R&B']
14,"This Ain't a Scene, It's an Arms Race",Fall Out Boy,[],2007,,516cef4d-0718-4007-9939-f9b38af3f784,212000.0,"['rock', 'alternative', 'emo']",['pop-punk']
15,In This Life,Delta Goodrem,[],2007,6f86987b-edc4-3eb0-9984-972e97a41396,8c5755b4-2de6-4158-bca9-e354cbf07437,227000.0,[],['pop rock']
16,Thnks Fr Th Mmrs,Fall Out Boy,[],2007,,516cef4d-0718-4007-9939-f9b38af3f784,204000.0,"['rock', 'alternative', 'emo']",[]
17,Destination Calabria,Alex Gaudino,['Crystal Waters'],2007,,836d43ae-5086-4f45-9e23-b02edca37653,105000.0,[],[]
18,How to Save a Life,The Fray,[],2007,b097abcd-bb6a-4d05-ae50-6f47949593c2,2ddd167f-5b8a-4372-b350-6ad50493bac0,263000.0,"['alternative', 'rock', 'indie']","['alternative rock', 'alternative rock']"
19,Stronger,Kanye West,[],2007,040cc48d-ad1a-469f-b1f4-1fcec9525d15,,311000.0,"['rap', 'dance', 'hip hop']","['hip-hop', 'electronica']"
20,20 Good Reasons,Thirsty Merc,[],2007,320ced65-d311-41e1-bd74-c0e06483eed9,88bd1dbb-040c-4595-a4fe-9732bd7025b3,229000.0,[],['rock music']
21,Hey There Delilah,Plain White T's,[],2007,6bd0a198-bbfb-3b19-a192-cab215258f62,,232000.0,"['indie', 'rock', 'alternative']","['indie pop', 'ballad']"
22,Hook Me Up,The Veronicas,[],2007,e3753994-1835-4cbf-a784-79c51381be6e,fd1baeb3-0ee9-4838-b4c7-615c78d68d10,176000.0,[],"['electropop', 'synth-pop']"
23,Love Today,Mika,[],2007,,e4914285-d20d-4fc2-ae32-42cba8aeeed0,235000.0,[],['glam rock']
24,How Far We've Come,Matchbox Twenty,[],2007,bc9fdb42-57be-41cd-8501-204d12fc4c1a,75af9d25-cf32-49c0-9192-60bd8e9784e6,211000.0,[],['alternative rock']
25,Say it Right,Nelly Furtado,[],2007,,13655113-cd16-4b43-9dca-cadbbf26ee05,223000.0,"['pop', 'dance', 'rnb']",[]
26,Rock This Party (Everybody Dance Now),Bob Sinclar & Cutee B,"['Dollarman', 'Big Ali', 'Makedah']",2007,9fdcff19-d470-4f66-971a-c9c0cfe6646a,,199000.0,[],[]
27,Into the Night,Santana,['Chad Kroeger'],2007,0989f325-62d5-3380-a2fe-286bf80158a6,9a3bf45c-347d-4630-894d-7cf3e8e0b632,222000.0,[],['Latin rock']
28,Can't Touch It,Ricki-Lee,[],2007,5e8142ca-2e5d-42c5-93c8-fd0b4a1c43b1,,172000.0,[],[]
29,UFO,Sneaky Sound System,[],2007,b9a8f11e-7f75-4956-a275-9e4d2a8cc79c,495fe320-091e-43eb-9321-54a20e7c3f98,242000.0,[],['dance-pop']
30,Suddenly I See,KT Tunstall,[],2007,,951d2103-9c7d-4849-ae60-88bf6aa4790b,200000.0,"['pop', 'indie', 'rock']",['alternative rock']
31,What Goes Around...Comes Around,Justin Timberlake,[],2007,424f70c9-9d63-3d0b-b9a3-287fe65517d7,596ffa74-3d08-44ef-b113-765d43d12738,315000.0,[],[]
32,Put Your Hands Up for Detroit,Fedde Le Grand,[],2007,,ffa93e03-f6c5-4d78-b0d5-07d0d6de46aa,58000.0,[],[]
