rank,song_title,artist,featuring_artists,year,track_mbid,artist_mbid,duration,genre,wiki_genre
1,Happy,Pharrell Williams,[],2014,,149f91ef-1287-46da-9a8e-87fee02f1471,232000.0,[],"['neo soul', 'soul']"
2,Dark Horse,Katy Perry & Juicy J,[],2014,12e2e456-5d1c-44e1-9eae-f745c2ce604a,122d63fc-8671-43e4-9752-34e846d62a9c,215000.0,[],[]
3,All of Me,John Legend,[],2014,57134d59-8a4f-4646-97ff-50671986583e,75a72702-a5ef-4513-bca5-c5b944903546,270000.0,"['rnb', 'pop', 'soul']",['ballade']
4,Fancy,Iggy Azalea & Charli XCX,[],2014,2c42ca62-5713-4130-b47d-1ee672098b2e,3a052c99-8c18-484a-8beb-9873b4fb3106,199000.0,"['rap', 'pop']",[]
5,Counting Stars,OneRepublic,[],2014,,c33c2065-b1c3-4406-b066-d33a9e2ea71a,257000.0,"['rock', 'pop']",['folk rock']
6,Talk Dirty,Jason Derulo & 2 Chainz,[],2014,94733e1e-cc16-443d-84f8-db279325c086,,177000.0,[],[]
7,Rude,Magic!,[],2014,447276a2-a59e-4fe6-beaa-13ae0676d168,53fa616a-e2b4-4982-bef8-6362b44054f0,224000.0,"['pop', 'reggae']","['reggae fusion', 'pop music']"
8,All About That Bass,Meghan Trainor,[],2014,759edfb8-0b3c-4d4b-9538-a4e20f21f1e3,b2029169-2574-4305-820f-252a5fde3697,188000.0,[],"['blue-eyed soul', 'pop music', 'doo-wop']"
9,Problem,Ariana Grande & Iggy Azalea,[],2014,,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,193000.0,['pop'],[]
10,Stay with Me,Sam Smith,[],2014,,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,172000.0,"['soul', 'pop']","['pop music', 'rhythm and blues', 'soul']"
11,Timber,Pitbull & Kesha,[],2014,,d262ea27-3ffe-40f7-b922-85c42d625e67,204000.0,"['pop', 'dance']",[]
12,Pompeii,Bastille,[],2014,9833ffbd-a387-415f-baab-dedd322529a9,7808accb-6395-4b25-858c-678bbb73896b,214000.0,"['indie', 'pop', 'alternative']",['indie rock']
13,Shake It Off,Taylor Swift,[],2014,59fc5ddf-a1d9-4746-902d-71fb5a9a78c2,20244d07-534f-4eff-b4d4-930878889970,219000.0,['pop'],['dance-pop']
14,Am I Wrong,Nico & Vinz,[],2014,,f8e8de78-2131-4e96-8829-ba3614f48a48,245000.0,['pop'],['pop music']
15,Turn Down for What,DJ Snake & Lil Jon,[],2014,a4c1efe1-7b27-4604-be35-097326ed1c5f,,213000.0,[],[]
16,The Monster,Eminem & Rihanna,[],2014,7e9e29c6-c643-41bb-bd1c-f77e4a453719,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,250000.0,"['rap', 'pop', 'hip hop']",[]
17,Say Something,A Great Big World & Christina Aguilera,[],2014,004ab425-f2f3-42a9-9041-3a7e33321e01,6958e806-1e14-4844-a0a7-07a27756aa0f,231000.0,[],[]
18,Team,Lorde,[],2014,,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,243000.0,"['pop', 'electronic']","['electro hop', 'alternative pop']"
19,Let Her Go,Passenger,[],2014,,6617f55e-c0c0-490d-9855-02c9c30091d9,251000.0,['folk'],['folk rock']
20,Royals,Lorde,[],2014,,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,190000.0,"['pop', 'indie', 'electronic']","['art pop', 'electropop', 'indie pop']"
21,Let It Go,Idina Menzel,[],2014,4c1a9d5a-57c4-4cf0-a153-d7c53077263e,929ca8c3-5df3-4fe9-bc59-f8d603780bce,224000.0,[],"['stage and screen', 'pop rock', 'show tune']"
22,Wake Me Up,Avicii,[],2014,,c85cfd6b-b1e9-4a50-bd55-eb725f04f7d5,249000.0,"['electronic', 'dance', 'pop']","['pop music', 'electronic dance music', 'folktronica', 'folk-pop']"
23,Demons,Imagine Dragons,[],2014,,012151a8-0f9a-44c9-997f-ebd68b5389f9,176000.0,"['indie', 'rock', 'alternative']",['alternative rock']
24,Story of My Life,One Direction,[],2014,f6328ef6-62f6-4d08-8e33-e201d07e321d,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,246000.0,['pop'],['folktronica']
25,Chandelier,Sia,[],2014,d54ad2cf-cc5b-4c8d-881d-f4685e12553c,2f548675-008d-4332-876c-108b0c7ab9c5,212000.0,"['pop', 'indie']",['electropop']
26,Black Widow,Iggy Azalea & Rita Ora,[],2014,63b17be0-6cd2-4a3c-9609-860d44896c4b,3a052c99-8c18-484a-8beb-9873b4fb3106,209000.0,[],[]
27,Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,[],2014,146707fc-924f-48ce-b56e-fff3a6a19c06,,199000.0,[],[]
28,Latch,Disclosure & Sam Smith,[],2014,,962419b3-51c6-464d-acd5-b43f88429d85,255000.0,[],[]
29,Maps,Maroon 5,[],2014,,0ab49580-c84f-44d4-875f-d83760ea2cfe,190000.0,['pop'],['pop music']
30,Loyal,Chris Brown & Lil Wayne & French Montana & Too Short & Tyga,[],2014,,,,[],[]
31,Best Day of My Life,American Authors,[],2014,fe6779b5-ed82-46d2-b987-27166c767a34,9ce0515d-cc88-4df6-8a2e-d231c13cb2c2,194000.0,"['pop', 'indie', 'alternative']",['indie rock']
32,Habits (Stay High),Tove Lo,[],2014,,56756959-1e78-429c-b897-e1d056cb0225,208000.0,['pop'],[]
33,Summer,Calvin Harris,[],2014,,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,221000.0,"['dance', 'house', 'electronic']","['dance-pop', 'electro house']"
